"Enrollment","RG","IdentityName","PrincipalId","CosmosAccount","ReaderAtRG","AccountContributor","DataContributor","Status"
"1000","rg-adlc-exp-2608-1000","id-ca-adlc-exp-1000","0c4ccd99-44ed-4e3c-8564-c5642c51cd21","cosmos-adlc-exp-1000","OK","OK","MISSING","INCOMPLETE"
"1001","rg-adlc-exp-2608-1001","id-ca-adlc-exp-1001","8a571b0a-3f40-45aa-a44d-d7e1ff36cce6","cosmos-adlc-exp-1001","OK","OK","OK","COMPLETE"
"1002","rg-adlc-exp-2608-1002","id-ca-adlc-exp-1002","dd5cb332-cad9-4a63-b07e-a15d5bdd51f5","cosmos-adlc-exp-1002","OK","OK","MISSING","INCOMPLETE"
"1003","rg-adlc-exp-2608-1003","id-ca-adlc-exp-1003","ee68cba0-2f8c-4bf3-9d8a-dac6d8ba6f03","cosmos-adlc-exp-1003","OK","OK","MISSING","INCOMPLETE"
"1004","rg-adlc-exp-2608-1004","id-ca-adlc-exp-1004","5da401f3-22b2-43d9-ae38-10569957224f","cosmos-adlc-exp-1004","OK","OK","MISSING","INCOMPLETE"
"1005","rg-adlc-exp-2608-1005","id-ca-adlc-exp-1005","cfc0d35b-5eba-4dc2-b4ee-97b3afe1cb65","cosmos-adlc-exp-1005","OK","OK","MISSING","INCOMPLETE"
"1006","rg-adlc-exp-2608-1006","id-ca-adlc-exp-1006","bb62bb4c-68d6-44ab-86cb-2a640c339a4d","cosmos-adlc-exp-1006","OK","OK","MISSING","INCOMPLETE"
"1007","rg-adlc-exp-2608-1007","id-ca-adlc-exp-1007","91832af0-c9a7-4a5c-95da-7b430a844341","cosmos-adlc-exp-1007","OK","OK","MISSING","INCOMPLETE"
"1008","rg-adlc-exp-2608-1008","id-ca-adlc-exp-1008","1fcbe549-03d7-40a5-88bb-461279913ee3","cosmos-adlc-exp-1008","OK","OK","MISSING","INCOMPLETE"
"1009","rg-adlc-exp-2608-1009","id-ca-adlc-exp-1009","a5c96812-eb83-432f-9e37-d3d2df47a315","cosmos-adlc-exp-1009","OK","OK","MISSING","INCOMPLETE"
"1010","rg-adlc-exp-2608-1010","id-ca-adlc-exp-1010","2fd3ffbd-1dd7-4ea3-9cdb-6111d8286076","cosmos-adlc-exp-1010","OK","OK","MISSING","INCOMPLETE"
"1011","rg-adlc-exp-2608-1011","id-ca-adlc-exp-1011","2f145cae-f60f-49fc-ac6b-2403fdc8a5da","cosmos-adlc-exp-1011","OK","OK","MISSING","INCOMPLETE"
"1012","rg-adlc-exp-2608-1012","id-ca-adlc-exp-1012","0a76da3a-c40f-4846-aa77-650174f6ea2b","cosmos-adlc-exp-1012","OK","OK","MISSING","INCOMPLETE"
"1013","rg-adlc-exp-2608-1013","id-ca-adlc-exp-1013","dc9a27ab-3c3b-4ac9-9386-ed3ffa7c5da9","cosmos-adlc-exp-1013","OK","OK","MISSING","INCOMPLETE"
"1014","rg-adlc-exp-2608-1014","id-ca-adlc-exp-1014","9a805a3c-7f82-4814-9385-a59a36058acd","cosmos-adlc-exp-1014","OK","OK","MISSING","INCOMPLETE"
"1015","rg-adlc-exp-2608-1015","id-ca-adlc-exp-1015","8c824ece-90e2-4a13-82aa-da3bb4bcee93","cosmos-adlc-exp-1015","OK","OK","MISSING","INCOMPLETE"
"1016","rg-adlc-exp-2608-1016","id-ca-adlc-exp-1016","74e6b31e-a93a-4e7b-9d10-222898caaaa1","cosmos-adlc-exp-1016","OK","OK","MISSING","INCOMPLETE"
"1017","rg-adlc-exp-2608-1017","id-ca-adlc-exp-1017","587b1e80-88da-4b01-a6c3-02c8da9f959b","cosmos-adlc-exp-1017","OK","OK","MISSING","INCOMPLETE"
"1018","rg-adlc-exp-2608-1018","id-ca-adlc-exp-1018","4f449422-ecdf-4105-9563-44088e737056","cosmos-adlc-exp-1018","OK","OK","MISSING","INCOMPLETE"
"1019","rg-adlc-exp-2608-1019","id-ca-adlc-exp-1019","6e848b7a-4db0-41f7-a658-897afb3971d4","cosmos-adlc-exp-1019","OK","OK","MISSING","INCOMPLETE"
"1020","rg-adlc-exp-2608-1020","id-ca-adlc-exp-1020","6e6546a7-7b7a-498e-b13d-d6bf65723ae3","cosmos-adlc-exp-1020","OK","OK","MISSING","INCOMPLETE"
"1021","rg-adlc-exp-2608-1021","id-ca-adlc-exp-1021","00424806-dbd0-4870-a727-5e9182adeaaf","cosmos-adlc-exp-1021","OK","OK","MISSING","INCOMPLETE"
"1022","rg-adlc-exp-2608-1022","id-ca-adlc-exp-1022","6a3835e0-47c7-49d3-802b-12e26a806bfc","cosmos-adlc-exp-1022","OK","OK","MISSING","INCOMPLETE"
"1023","rg-adlc-exp-2608-1023","id-ca-adlc-exp-1023","0501c210-a0d3-44e4-aa29-216c97dc3735","cosmos-adlc-exp-1023","OK","OK","MISSING","INCOMPLETE"
"1024","rg-adlc-exp-2608-1024","id-ca-adlc-exp-1024","dd82f62c-c9db-4e40-a7a2-66e653d54f07","cosmos-adlc-exp-1024","OK","OK","MISSING","INCOMPLETE"
"1025","rg-adlc-exp-2608-1025","id-ca-adlc-exp-1025","94f3a249-1d3a-4b02-b8e3-27f211d1a5c5","cosmos-adlc-exp-1025","OK","OK","MISSING","INCOMPLETE"
"1026","rg-adlc-exp-2608-1026","id-ca-adlc-exp-1026","b0db99d0-aaa2-4386-a110-3151445dc2dd","cosmos-adlc-exp-1026","OK","OK","MISSING","INCOMPLETE"
"1027","rg-adlc-exp-2608-1027","id-ca-adlc-exp-1027","8809b2e0-ed9e-4d72-9bd2-f7650968a106","cosmos-adlc-exp-1027","OK","OK","MISSING","INCOMPLETE"
"1028","rg-adlc-exp-2608-1028","id-ca-adlc-exp-1028","1c6b58b2-415a-4c39-ae22-81d485189c9f","cosmos-adlc-exp-1028","OK","OK","MISSING","INCOMPLETE"
"1029","rg-adlc-exp-2608-1029","id-ca-adlc-exp-1029","d7da07bd-4511-4bf1-b637-c5020661b0b6","cosmos-adlc-exp-1029","OK","OK","MISSING","INCOMPLETE"
"1030","rg-adlc-exp-2608-1030","id-ca-adlc-exp-1030","ff4e4584-139c-4f5b-8c1e-ce559381db6d","cosmos-adlc-exp-1030","OK","OK","MISSING","INCOMPLETE"
"1031","rg-adlc-exp-2608-1031","id-ca-adlc-exp-1031","3c76f07d-1df9-443c-bd11-1c26319239b8","cosmos-adlc-exp-1031","OK","OK","MISSING","INCOMPLETE"
"1032","rg-adlc-exp-2608-1032","id-ca-adlc-exp-1032","e8d7b704-7111-4821-a772-079a5fe8c849","cosmos-adlc-exp-1032","OK","OK","MISSING","INCOMPLETE"
"1033","rg-adlc-exp-2608-1033","id-ca-adlc-exp-1033","71e75bff-5e13-4acf-a3e3-cfea79781ca1","cosmos-adlc-exp-1033","OK","OK","MISSING","INCOMPLETE"
"1034","rg-adlc-exp-2608-1034","id-ca-adlc-exp-1034","d6a99910-75fc-4279-9dc2-88677717e22a","cosmos-adlc-exp-1034","OK","OK","MISSING","INCOMPLETE"
"1035","rg-adlc-exp-2608-1035","id-ca-adlc-exp-1035","e79a278c-0132-4e01-94d8-e61478378551","cosmos-adlc-exp-1035","OK","OK","MISSING","INCOMPLETE"
"1036","rg-adlc-exp-2608-1036","id-ca-adlc-exp-1036","40d238be-38f2-49cb-82f9-9726e2f17ecc","cosmos-adlc-exp-1036","OK","OK","MISSING","INCOMPLETE"
"1037","rg-adlc-exp-2608-1037","id-ca-adlc-exp-1037","a384423b-4363-44be-82e5-e70a617a1005","cosmos-adlc-exp-1037","OK","OK","MISSING","INCOMPLETE"
"1038","rg-adlc-exp-2608-1038","id-ca-adlc-exp-1038","4578edf8-6eb8-48d1-8f2f-2874f05d943e","cosmos-adlc-exp-1038","OK","OK","MISSING","INCOMPLETE"
"1039","rg-adlc-exp-2608-1039","id-ca-adlc-exp-1039","1149acb7-d9ad-4fac-af69-34828a31c0e7","cosmos-adlc-exp-1039","OK","OK","MISSING","INCOMPLETE"
"1040","rg-adlc-exp-2608-1040","id-ca-adlc-exp-1040","6c9a3e4c-726c-41e7-a4f6-7988456f8cc9","cosmos-adlc-exp-1040","OK","OK","MISSING","INCOMPLETE"
"1041","rg-adlc-exp-2608-1041","id-ca-adlc-exp-1041","cfa0b9f8-d9bd-4ad6-bd46-58ce17fccbb9","cosmos-adlc-exp-1041","OK","OK","MISSING","INCOMPLETE"
"1042","rg-adlc-exp-2608-1042","id-ca-adlc-exp-1042","857afd82-19f2-452d-b5bb-ab646fcb4d63","cosmos-adlc-exp-1042","OK","OK","MISSING","INCOMPLETE"
"1043","rg-adlc-exp-2608-1043","id-ca-adlc-exp-1043","43419826-1702-4872-a75b-ea5c8f876a4a","cosmos-adlc-exp-1043","OK","OK","MISSING","INCOMPLETE"
"1044","rg-adlc-exp-2608-1044","id-ca-adlc-exp-1044","fb63aaff-5464-4c01-b95a-2b41ec35bb7c","cosmos-adlc-exp-1044","OK","OK","MISSING","INCOMPLETE"
"1045","rg-adlc-exp-2608-1045","id-ca-adlc-exp-1045","c0b5c2a9-576c-432f-ae8b-b4b520a26df1","cosmos-adlc-exp-1045","OK","OK","MISSING","INCOMPLETE"
"1046","rg-adlc-exp-2608-1046","id-ca-adlc-exp-1046","b5097d2a-d525-458d-b560-e735b03a97cc","cosmos-adlc-exp-1046","OK","OK","MISSING","INCOMPLETE"
"1047","rg-adlc-exp-2608-1047","id-ca-adlc-exp-1047","c3943069-769c-448d-8a25-85bb07ee5801","cosmos-adlc-exp-1047","OK","OK","MISSING","INCOMPLETE"
"1048","rg-adlc-exp-2608-1048","id-ca-adlc-exp-1048","106ddd79-78ee-408f-acb2-df185c298cdf","cosmos-adlc-exp-1048","OK","OK","MISSING","INCOMPLETE"
"1049","rg-adlc-exp-2608-1049","id-ca-adlc-exp-1049","42763f5b-d395-4556-b029-dbf1c56741ae","cosmos-adlc-exp-1049","OK","OK","MISSING","INCOMPLETE"
"1050","rg-adlc-exp-2608-1050","id-ca-adlc-exp-1050","92210d56-fc53-4ddf-95e7-9ab457cea28a","cosmos-adlc-exp-1050","OK","OK","MISSING","INCOMPLETE"
"1051","rg-adlc-exp-2608-1051","id-ca-adlc-exp-1051","3a32dfc5-fd1d-4009-95e6-8c5628f71199","cosmos-adlc-exp-1051","OK","OK","MISSING","INCOMPLETE"
"1052","rg-adlc-exp-2608-1052","id-ca-adlc-exp-1052","94416323-80db-46d4-98ee-5b8e9c70d946","cosmos-adlc-exp-1052","OK","OK","MISSING","INCOMPLETE"
"1053","rg-adlc-exp-2608-1053","id-ca-adlc-exp-1053","62de1953-d8b2-4e07-8947-ff486b4bec39","cosmos-adlc-exp-1053","OK","OK","MISSING","INCOMPLETE"
"1054","rg-adlc-exp-2608-1054","id-ca-adlc-exp-1054","b0314a83-0c86-46dd-8951-54b2abf46d14","cosmos-adlc-exp-1054","OK","OK","MISSING","INCOMPLETE"
"1055","rg-adlc-exp-2608-1055","id-ca-adlc-exp-1055","9ec53460-ebb9-410f-a7e3-b1a39b225d87","cosmos-adlc-exp-1055","OK","OK","MISSING","INCOMPLETE"
"1056","rg-adlc-exp-2608-1056","id-ca-adlc-exp-1056","97441052-7feb-40eb-93c2-5058aa0d140d","cosmos-adlc-exp-1056","OK","OK","MISSING","INCOMPLETE"
"1057","rg-adlc-exp-2608-1057","id-ca-adlc-exp-1057","42ec199c-7112-464b-bb5e-a2f7627815f5","cosmos-adlc-exp-1057","OK","OK","MISSING","INCOMPLETE"
"1058","rg-adlc-exp-2608-1058","id-ca-adlc-exp-1058","5484d4af-bdd6-4201-b5e0-1c44f08eafbb","cosmos-adlc-exp-1058","OK","OK","MISSING","INCOMPLETE"
"1059","rg-adlc-exp-2608-1059","id-ca-adlc-exp-1059","3c657bc2-0965-4dd6-941f-525d549287d5","cosmos-adlc-exp-1059","OK","OK","MISSING","INCOMPLETE"
"1060","rg-adlc-exp-2608-1060","id-ca-adlc-exp-1060","247ae8b3-a2e0-42be-8811-d10291df6e46","cosmos-adlc-exp-1060","OK","OK","MISSING","INCOMPLETE"
"1061","rg-adlc-exp-2608-1061","id-ca-adlc-exp-1061","dad9735a-4735-48ab-b340-509ca831f62e","cosmos-adlc-exp-1061","OK","OK","MISSING","INCOMPLETE"
"1062","rg-adlc-exp-2608-1062","id-ca-adlc-exp-1062","d1ad871a-86d5-4df3-b99e-fff5ae3def2b","cosmos-adlc-exp-1062","OK","OK","MISSING","INCOMPLETE"
"1063","rg-adlc-exp-2608-1063","id-ca-adlc-exp-1063","c8ff2212-fe7c-4513-a77e-0533a27565ab","cosmos-adlc-exp-1063","OK","OK","MISSING","INCOMPLETE"
"1064","rg-adlc-exp-2608-1064","id-ca-adlc-exp-1064","ad636c5d-4dbc-4aaa-a53e-0d61d30e6c90","cosmos-adlc-exp-1064","OK","OK","MISSING","INCOMPLETE"
"1065","rg-adlc-exp-2608-1065","id-ca-adlc-exp-1065","32923a71-3b79-4796-8405-ec6a19f05a99","cosmos-adlc-exp-1065","OK","OK","MISSING","INCOMPLETE"
"1066","rg-adlc-exp-2608-1066","id-ca-adlc-exp-1066","ae796768-d02a-4038-89b5-a5d1f3f9f855","cosmos-adlc-exp-1066","OK","OK","MISSING","INCOMPLETE"
"1067","rg-adlc-exp-2608-1067","id-ca-adlc-exp-1067","7771ee37-9f39-4c23-94e4-5d8572362d5d","cosmos-adlc-exp-1067","OK","OK","MISSING","INCOMPLETE"
"1068","rg-adlc-exp-2608-1068","id-ca-adlc-exp-1068","6a267ca5-a6c5-4f6e-a2fe-7b08b89959f7","cosmos-adlc-exp-1068","OK","OK","MISSING","INCOMPLETE"
"1069","rg-adlc-exp-2608-1069","id-ca-adlc-exp-1069","f60559f3-6206-4504-b469-0d9700ef2b40","cosmos-adlc-exp-1069","OK","OK","MISSING","INCOMPLETE"
"1070","rg-adlc-exp-2608-1070","id-ca-adlc-exp-1070","8358a321-64e8-48ce-af8a-61b6e96a4c5a","cosmos-adlc-exp-1070","OK","OK","MISSING","INCOMPLETE"
"1071","rg-adlc-exp-2608-1071","id-ca-adlc-exp-1071","dc76b104-88fc-4d63-bdb7-f46dfe64c449","cosmos-adlc-exp-1071","OK","OK","MISSING","INCOMPLETE"
"1072","rg-adlc-exp-2608-1072","id-ca-adlc-exp-1072","0e461327-9e56-4f37-8892-575d150682e4","cosmos-adlc-exp-1072","OK","OK","MISSING","INCOMPLETE"
"1073","rg-adlc-exp-2608-1073","id-ca-adlc-exp-1073","f6af1dd4-4568-48c3-91bf-6c50fe92d9da","cosmos-adlc-exp-1073","OK","OK","MISSING","INCOMPLETE"
"1074","rg-adlc-exp-2608-1074","id-ca-adlc-exp-1074","158de11b-318e-4f90-8d15-98a82c680826","cosmos-adlc-exp-1074","OK","OK","MISSING","INCOMPLETE"
"1075","rg-adlc-exp-2608-1075","id-ca-adlc-exp-1075","57e59df0-42a1-465c-9c22-a4db62646742","cosmos-adlc-exp-1075","OK","OK","MISSING","INCOMPLETE"
"1076","rg-adlc-exp-2608-1076","id-ca-adlc-exp-1076","cd405b99-6bcf-470e-a2e3-88f7b331b4a5","cosmos-adlc-exp-1076","OK","OK","MISSING","INCOMPLETE"
"1077","rg-adlc-exp-2608-1077","id-ca-adlc-exp-1077","0a5e4934-c9e7-4066-bdb2-df5a147c5ede","cosmos-adlc-exp-1077","OK","OK","MISSING","INCOMPLETE"
"1078","rg-adlc-exp-2608-1078","id-ca-adlc-exp-1078","1a0c183f-71f2-4374-91e4-556c29c5fd9c","cosmos-adlc-exp-1078","OK","OK","MISSING","INCOMPLETE"
"1079","rg-adlc-exp-2608-1079","id-ca-adlc-exp-1079","62269b0d-cbf6-4777-be98-763d887d704b","cosmos-adlc-exp-1079","OK","OK","MISSING","INCOMPLETE"
"1080","rg-adlc-exp-2608-1080","id-ca-adlc-exp-1080","0a54fda7-ac59-4e43-a5ff-35405fbee47c","cosmos-adlc-exp-1080","OK","OK","MISSING","INCOMPLETE"
"1081","rg-adlc-exp-2608-1081","id-ca-adlc-exp-1081","291280fd-3d98-4ec5-8fff-e512288fc0c4","cosmos-adlc-exp-1081","OK","OK","MISSING","INCOMPLETE"
"1082","rg-adlc-exp-2608-1082","id-ca-adlc-exp-1082","abe8caab-7938-497c-88dc-278b642afd30","cosmos-adlc-exp-1082","OK","OK","MISSING","INCOMPLETE"
"1083","rg-adlc-exp-2608-1083","id-ca-adlc-exp-1083","37e559f1-3a20-4a01-8c4f-fa46c65c7eef","cosmos-adlc-exp-1083","OK","OK","MISSING","INCOMPLETE"
"1084","rg-adlc-exp-2608-1084","id-ca-adlc-exp-1084","c3f7fd58-0695-4281-bc5e-b0f3e14585ac","cosmos-adlc-exp-1084","OK","OK","MISSING","INCOMPLETE"
"1085","rg-adlc-exp-2608-1085","id-ca-adlc-exp-1085","eb75008c-1c58-4c44-8e58-d257fb7803dc","cosmos-adlc-exp-1085","OK","OK","MISSING","INCOMPLETE"
